#{"t_start": 1746947258.6964107, "env_id": "None"}
r,l,t
-1.0,1,15.120746
1.0,1,15.121717
-1.0,1,15.122597
-1.0,1,15.123438
-1.0,1,15.124259
1.0,1,15.125021
-1.0,1,15.125813
-1.0,1,15.126583
-1.0,1,15.127512
-1.0,1,15.128225
-1.0,1,15.128958
1.0,1,15.129674
1.0,1,15.13035
-1.0,1,15.131019
-1.0,1,15.131717
-1.0,1,15.132397
1.0,1,15.133061
1.0,1,15.133787
1.0,1,15.134471
-1.0,1,15.135135
-1.0,1,15.135823
1.0,1,15.136532
1.0,1,15.137255
1.0,1,15.138047
-1.0,1,15.138726
1.0,1,15.139403
-1.0,1,15.140064
1.0,1,15.140744
1.0,1,15.141405
-1.0,1,15.142061
1.0,1,15.14274
1.0,1,15.143403
1.0,1,15.144071
1.0,1,15.144749
1.0,1,15.145415
-1.0,1,15.146066
1.0,1,15.146881
1.0,1,15.147698
1.0,1,15.148498
-1.0,1,15.149178
1.0,1,15.149848
-1.0,1,15.150525
-1.0,1,15.151166
-1.0,1,15.151834
1.0,1,15.152628
-1.0,1,15.1533
-1.0,1,15.153955
-1.0,1,15.154633
-1.0,1,15.1553
1.0,1,15.155951
1.0,1,15.156667
1.0,1,15.157384
1.0,1,15.158133
-1.0,1,15.158805
-1.0,1,15.159462
1.0,1,15.16011
1.0,1,15.160778
1.0,1,15.161446
1.0,1,15.162101
-1.0,1,15.162773
-1.0,1,15.163435
1.0,1,15.164089
-1.0,1,15.164809
-1.0,1,15.165515
1.0,1,15.166155
-1.0,1,15.167004
1.0,1,15.16787
-1.0,1,15.168587
-1.0,1,15.169222
-1.0,1,15.169897
1.0,1,15.170571
-1.0,1,15.171212
-1.0,1,15.171884
1.0,1,15.172557
1.0,1,15.173195
1.0,1,15.173863
-1.0,1,15.174532
-1.0,1,15.175169
1.0,1,15.175838
1.0,1,15.176523
1.0,1,15.177233
1.0,1,15.178021
-1.0,1,15.178697
1.0,1,15.179355
1.0,1,15.179999
-1.0,1,15.180669
-1.0,1,15.181342
-1.0,1,15.181991
-1.0,1,15.182704
-1.0,1,15.183448
1.0,1,15.184226
-1.0,1,15.185045
-1.0,1,15.185714
-1.0,1,15.186428
-1.0,1,15.187222
-1.0,1,15.188055
1.0,1,15.188776
-1.0,1,15.189439
1.0,1,15.190134
-1.0,1,15.190837
-1.0,1,15.191555
1.0,1,15.192217
-1.0,1,15.192892
-1.0,1,15.193624
1.0,1,15.194378
-1.0,1,15.195101
1.0,1,15.195862
1.0,1,15.196622
1.0,1,15.197386
-1.0,1,15.199263
-1.0,1,15.199916
1.0,1,15.200588
-1.0,1,15.201307
1.0,1,15.201975
1.0,1,15.202641
-1.0,1,15.203315
1.0,1,15.203956
-1.0,1,15.204623
-1.0,1,15.205298
-1.0,1,15.205942
-1.0,1,15.20665
1.0,1,15.207479
-1.0,1,15.208198
1.0,1,15.208867
1.0,1,15.209534
1.0,1,15.210168
-1.0,1,15.210836
-1.0,1,15.21151
-1.0,1,15.212144
-1.0,1,15.212951
-1.0,1,15.213618
-1.0,1,15.214268
1.0,1,15.214912
-1.0,1,15.215573
-1.0,1,15.216202
1.0,1,15.216972
1.0,1,15.217712
-1.0,1,15.21843
-1.0,1,15.219073
-1.0,1,15.219732
-1.0,1,15.220383
1.0,1,15.221025
-1.0,1,15.221688
1.0,1,15.222345
1.0,1,15.222984
1.0,1,15.223649
1.0,1,15.224294
1.0,1,15.224933
1.0,1,15.225594
1.0,1,15.22638
-1.0,1,15.227118
-1.0,1,15.227908
-1.0,1,15.228572
-1.0,1,15.229204
1.0,1,15.229867
-1.0,1,15.230524
1.0,1,15.231151
1.0,1,15.231807
-1.0,1,15.23246
1.0,1,15.233103
-1.0,1,15.233759
-1.0,1,15.234409
1.0,1,15.235055
-1.0,1,15.235718
1.0,1,15.236366
1.0,1,15.237111
1.0,1,15.237962
1.0,1,15.238678
1.0,1,15.239356
-1.0,1,15.24002
-1.0,1,15.240684
1.0,1,15.241331
1.0,1,15.241993
-1.0,1,15.242815
1.0,1,15.24347
1.0,1,15.24414
-1.0,1,15.244799
1.0,1,15.245449
-1.0,1,15.246094
-1.0,1,15.246833
-1.0,1,15.247555
1.0,1,15.248263
-1.0,1,15.248921
-1.0,1,15.249582
1.0,1,15.250207
1.0,1,15.250867
1.0,1,15.251531
1.0,1,15.252184
-1.0,1,15.252846
-1.0,1,15.253503
1.0,1,15.254133
-1.0,1,15.254793
-1.0,1,15.255445
1.0,1,15.25614
-1.0,1,15.256895
1.0,1,15.257583
1.0,1,15.258302
1.0,1,15.258942
-1.0,1,15.259603
-1.0,1,15.26025
-1.0,1,15.260893
1.0,1,15.261739
-1.0,1,15.262395
-1.0,1,15.263037
-1.0,1,15.263698
1.0,1,15.264369
1.0,1,15.265011
1.0,1,15.265673
-1.0,1,15.26632
-1.0,1,15.267067
1.0,1,15.267856
-1.0,1,15.268528
1.0,1,15.269155
-1.0,1,15.269813
1.0,1,15.270474
1.0,1,15.271124
1.0,1,15.27179
1.0,1,15.272439
-1.0,1,15.273077
1.0,1,15.27374
-1.0,1,15.274461
-1.0,1,15.275158
-1.0,1,15.275824
1.0,1,15.276491
1.0,1,15.277314
-1.0,1,15.278111
1.0,1,15.278791
-1.0,1,15.279439
1.0,1,15.280075
1.0,1,15.280733
1.0,1,15.281395
1.0,1,15.282033
-1.0,1,15.2827
1.0,1,15.283557
-1.0,1,15.28419
1.0,1,15.284855
1.0,1,15.285635
1.0,1,15.286286
1.0,1,15.28704
1.0,1,15.287802
-1.0,1,15.28847
-1.0,1,15.289108
1.0,1,15.289771
1.0,1,15.290421
1.0,1,15.291064
1.0,1,15.291722
-1.0,1,15.292377
1.0,1,15.29302
-1.0,1,15.293683
-1.0,1,15.294344
1.0,1,15.295315
-1.0,1,15.296223
1.0,1,15.297041
-1.0,1,15.297794
1.0,1,15.298504
1.0,1,15.299141
1.0,1,15.299811
1.0,1,15.30048
-1.0,1,15.301124
1.0,1,15.301788
1.0,1,15.30245
-1.0,1,15.303103
-1.0,1,15.303769
-1.0,1,15.304426
1.0,1,15.305078
-1.0,1,15.305748
1.0,1,15.306407
-1.0,1,15.30719
1.0,1,15.308007
1.0,1,15.3088
1.0,1,15.30946
-1.0,1,15.31016
1.0,1,15.310916
1.0,1,15.311648
-1.0,1,15.312319
-1.0,1,15.312964
1.0,1,15.313638
1.0,1,15.314287
1.0,1,15.314993
1.0,1,15.315658
1.0,1,15.316309
-1.0,1,15.317452
-1.0,1,15.318227
-1.0,1,15.31901
-1.0,1,15.319737
-1.0,1,15.320483
-1.0,1,15.321199
1.0,1,15.321919
-1.0,1,15.322582
-1.0,1,15.323212
1.0,1,15.323872
1.0,1,15.324528
1.0,1,15.325171
1.0,1,15.325841
-1.0,1,15.326596
1.0,1,15.327463
-1.0,1,15.328326
-1.0,1,15.328993
-1.0,1,15.329653
1.0,1,15.330302
1.0,1,15.330941
